Company Name,Company Profile URL,Job Title,Job Posting URL,Portal,Country,Tier Signal,Date
Anson McCade,https://uk.linkedin.com/company/anson-mccade,Demand Generation Specialist - Marketing - Hybrid,https://www.linkedin.com/jobs/view/demand-generation-specialist-marketing-hybrid-at-anson-mccade-4444128855?_l=en,LinkedIn,United Kingdom,Email Marketer,
Represent,https://uk.linkedin.com/company/represent-clo,CRM & Loyalty Executive,https://www.linkedin.com/jobs/view/crm-loyalty-executive-at-represent-4446910641?_l=en,LinkedIn,United Kingdom,Email Marketer,
Workwell,https://uk.linkedin.com/company/weareworkwell,Email Marketing Executive,https://www.linkedin.com/jobs/view/email-marketing-executive-at-workwell-4445699913?_l=en,LinkedIn,United Kingdom,Email Marketer,
Voy,https://uk.linkedin.com/company/joinvoy,Lifecycle Manager,https://www.linkedin.com/jobs/view/lifecycle-manager-at-voy-4437530353?_l=en,LinkedIn,United Kingdom,Email Marketer,
Digital Waffle,https://uk.linkedin.com/company/digitalwaffle,CRM Manager,https://www.linkedin.com/jobs/view/crm-manager-at-digital-waffle-4446740393?_l=en,LinkedIn,United Kingdom,Email Marketer,
KILLSTAR,https://uk.linkedin.com/company/killstar,CRM Assistant,https://www.linkedin.com/jobs/view/crm-assistant-at-killstar-4444603072?_l=en,LinkedIn,United Kingdom,Email Marketer,
Deliveroo,https://uk.linkedin.com/company/deliveroo,CRM Executive - Retail,https://www.linkedin.com/jobs/view/crm-executive-retail-at-deliveroo-4435474001?_l=en,LinkedIn,United Kingdom,Email Marketer,
Pandora,https://dk.linkedin.com/company/pandora-a-s,CRM Manager,https://www.linkedin.com/jobs/view/crm-manager-at-pandora-4443642310?_l=en,LinkedIn,United Kingdom,Email Marketer,
Barnardo's,https://uk.linkedin.com/company/barnardo's,Senior Marketing Executive,https://www.linkedin.com/jobs/view/senior-marketing-executive-at-barnardo-s-4446792025?_l=en,LinkedIn,United Kingdom,Email Marketer,
Everpool Recruitment,https://uk.linkedin.com/company/everpoolrecruitment,Email Marketing Executive,https://www.linkedin.com/jobs/view/email-marketing-executive-at-everpool-recruitment-4444943849?_l=en,LinkedIn,United Kingdom,Email Marketer,
BBC,https://uk.linkedin.com/company/bbc,"Fundraising Digital Assistant, CiN",https://www.linkedin.com/jobs/view/fundraising-digital-assistant-cin-at-bbc-4442856952?_l=en,LinkedIn,United Kingdom,Email Marketer,
Get Laid Beds,https://uk.linkedin.com/company/get-laid-beds,Email Marketing Coordinator,https://www.linkedin.com/jobs/view/email-marketing-coordinator-at-get-laid-beds-4446111231?_l=en,LinkedIn,United Kingdom,Email Marketer,
Super Group (SGHC),https://gg.linkedin.com/company/supergroupholdingcompany,Customer Relationship Management Executive,https://www.linkedin.com/jobs/view/customer-relationship-management-executive-at-super-group-sghc-4444915420?_l=en,LinkedIn,United Kingdom,Email Marketer,
Experian,https://www.linkedin.com/company/experian,Customer Marketing Executive,https://www.linkedin.com/jobs/view/customer-marketing-executive-at-experian-4446590719?_l=en,LinkedIn,United Kingdom,Email Marketer,
Jo Holdsworth Recruitment Ltd.,https://uk.linkedin.com/company/jo-holdsworth-recruitment,Digital Marketing Executive,https://www.linkedin.com/jobs/view/digital-marketing-executive-at-jo-holdsworth-recruitment-ltd-4427836955?_l=en,LinkedIn,United Kingdom,Email Marketer,
Moneybox,https://uk.linkedin.com/company/digital-moneybox,CRM Executive,https://www.linkedin.com/jobs/view/crm-executive-at-moneybox-4431925720?_l=en,LinkedIn,United Kingdom,Email Marketer,
Campbell Tickell,https://uk.linkedin.com/company/campbell-tickell,Marketing Support Officer,https://www.linkedin.com/jobs/view/marketing-support-officer-at-campbell-tickell-4444950910?_l=en,LinkedIn,United Kingdom,Email Marketer,
ALS,https://au.linkedin.com/company/als,Marketing Executive,https://www.linkedin.com/jobs/view/marketing-executive-at-als-4441833086?_l=en,LinkedIn,United Kingdom,Email Marketer,
The Jockey Club,https://uk.linkedin.com/company/thejockeyclub,Senior CRM Executive,https://www.linkedin.com/jobs/view/senior-crm-executive-at-the-jockey-club-4444950836?_l=en,LinkedIn,United Kingdom,Email Marketer,
Sanctuary Graduates & Apprentices,https://uk.linkedin.com/company/sanctuary-search,Marketing Lead,https://www.linkedin.com/jobs/view/marketing-lead-at-sanctuary-graduates-apprentices-4444123125?_l=en,LinkedIn,United Kingdom,Email Marketer,
Adoreboard,https://uk.linkedin.com/company/adoreboard,Demand Generation Associate,https://www.linkedin.com/jobs/view/demand-generation-associate-at-adoreboard-4446364184?_l=en,LinkedIn,United Kingdom,Email Marketer,
Moneybox,https://uk.linkedin.com/company/digital-moneybox,CRM Lifecycle Executive,https://www.linkedin.com/jobs/view/crm-lifecycle-executive-at-moneybox-4431956793?_l=en,LinkedIn,United Kingdom,Email Marketer,
Charles Tyrwhitt,https://uk.linkedin.com/company/charles-tyrwhitt,Email Marketing Assistant,https://www.linkedin.com/jobs/view/email-marketing-assistant-at-charles-tyrwhitt-4446837035?_l=en,LinkedIn,United Kingdom,Email Marketer,
Oxford International Education Group,https://uk.linkedin.com/company/oxford-international-education-group,HubSpot Marketing Executive,https://www.linkedin.com/jobs/view/hubspot-marketing-executive-at-oxford-international-education-group-4446756966?_l=en,LinkedIn,United Kingdom,Email Marketer,
EF Corporate Learning,https://uk.linkedin.com/company/ef-corporate-learning,Digital Marketing Executive,https://www.linkedin.com/jobs/view/digital-marketing-executive-at-ef-corporate-learning-4444161657?_l=en,LinkedIn,United Kingdom,Email Marketer,
